ID,NAME,CATEGORYONE,PICTURE,CATEGORYTWO,CATEGORYTHREE,PHONE,ADDRESS,CITY,STATE,HOSPITAL,,,,,,,,,,,,,,,
id,Adult Enrichment Center,ADULT DAY CARE CENTERS,images/pic_one.jpg,SENIOR CITIZENS CENTERS,,(325) 942-9253,6146 Appaloosa Trl,San Angelo,TX,,,,,,,,,,,,,,,,
id,Adult Protective Services,ADULT PROTECTIVE SERVICES,images/pic_one.jpg,,,(325) 657-8870,622 S Oakes St Ste G,San Angelo,TX,,,,,,,,,,,,,,,,
id,Alzheimer’s Association,ALZHEIMER’S CARE,images/pic_one.jpg,,,(325) 653-1724,438 E Houston Harte Expy,San Angelo,TX,,,,,,,,,,,,,,,,
id,BeeHive Homes Of San Angelo,ALZHEIMER’S CARE,images/pic_one.jpg,ASSISTED LIVING,,(325) 261-0266,2501 Sawgrass Dr,San Angelo,TX,,,,,,,,,,,,,,,,
id,Concho Health & Rehab Center,ALZHEIMER’S CARE,images/pic_one.jpg,NURSING & SKILLED NURSING HOMES,REHABILITATION CENTERS,(325) 869-5531,613 Eaker Street,Eden,TX,,,,,,,,,,,,,,,,
id,Myrtlewood Estates,ALZHEIMER’S CARE,images/pic_one.jpg,ASSISTED LIVING,RETIREMENT & INDEPENDENT LIVING,(888) 379-9026,2695 Valleyview Blvd,San Angelo,TX,,,,,,,,,,,,,,,,
id,Sagecrest Alzheimer’s Care,ALZHEIMER’S CARE,images/pic_one.jpg,NURSING & SKILLED NURSING HOMES,,(325) 486-3702,438 E Houston Harte Frontage,San Angelo,TX,,,,,,,,,,,,,,,,
id,The Green Houses at Sagecrest,ALZHEIMER’S CARE,images/pic_one.jpg,,,(325) 486-3702,438 Houston Harte,San Angelo,TX,,,,,,,,,,,,,,,,
id,The Springs,ALZHEIMER’S CARE,images/pic_one.jpg,,,(325) 224-3040,6102 Grand Court,San Angelo,TX,,,,,,,,,,,,,,,,
id,St. Angelus,ASSISTED LIVING,images/pic_one.jpg,RETIREMENT & INDEPENDENT LIVING,,(325) 659-4581,15 N. Van Buren,San Angelo,TX,,,,,,,,,,,,,,,,
id,Bryant-Concho Valley Hearing Aid,AUDIOLOGISTS & HEARING AIDS,images/pic_one.jpg,,,(325) 949-8351,3404 Knickerbocker Rd,San Angelo,TX,,,,,,,,,,,,,,,,
id,Ear Level Communications,AUDIOLOGISTS & HEARING AIDS,images/pic_one.jpg,,,(325) 227-4327,3560 Knickerbocker Rd,San Angelo,TX,,,,,,,,,,,,,,,,
id,New Sound Hearing Center,AUDIOLOGISTS & HEARING AIDS,images/pic_one.jpg,,,(325) 949-9993,3270 Sherwood Way,San Angelo,TX,,,,,,,,,,,,,,,,
id,Rehab Hearing Center,AUDIOLOGISTS & HEARING AIDS,images/pic_one.jpg,,,(325) 223-6360,3001 S Jackson St,San Angelo,TX,,,,,,,,,,,,,,,,
id,Shannon Clinic Audiology,AUDIOLOGISTS & HEARING AIDS,images/pic_one.jpg,,,(325) 481-2190,4450 Sunset Dr,San Angelo,TX,S,,,,,,,,,,,,,,,
id,River Crest Hospital,BEHAVIORAL HEALTH,images/pic_one.jpg,,,(800) 777-5722,1636 Hunters Glen Road,San Angelo,TX,,,,,,,,,,,,,,,,
id,Shannon Behavioral Health,BEHAVIORAL HEALTH,images/pic_one.jpg,,,(325) 659-7300,2018 Pulliam St,San Angelo,TX,S,,,,,,,,,,,,,,,
id,Community Cardiac Pulmonary Rehab,CARDIAC CARE,images/pic_one.jpg,REHABILITATION CENTERS,,(325) 947-6840,3350 Executive Dr,San Angelo,TX,C,,,,,,,,,,,,,,,
id,Community Medical Associates Heart & Vascular Center,CARDIAC CARE,images/pic_one.jpg,MEDICAL CLINICS,,(325) 245-4501,"3350 Executive Dr, Ste 100",San Angelo,TX,C,,,,,,,,,,,,,,,
id,Shannon Cardiac Rehabilitation,CARDIAC CARE,images/pic_one.jpg,,,(325) 657-5722,120 N. Magdalen St,San Angelo,TX,S,,,,,,,,,,,,,,,
id,Shannon Cardiothoracic & Vascular Surgery,CARDIAC CARE,images/pic_one.jpg,,,(325) 481-2134,102 N. Magdalen St,San Angelo,TX,S,,,,,,,,,,,,,,,
id,Shannon Regional Heart Center,CARDIAC CARE,images/pic_one.jpg,,,(325) 481-2281,102 N. Magdalen St,San Angelo,TX,S,,,,,,,,,,,,,,,
id,"Charles Marsh, M.D.",CARDIOLOGISTS,images/pic_one.jpg,,,(325) 481-2281,102 N. Magdalen,San Angelo,TX,,,,,,,,,,,,,,,,
id,"Christopher Haddad, M.D.",CARDIOLOGISTS,images/pic_one.jpg,,,(325) 481-2281,102 N. Magdalen,San Angelo,TX,,,,,,,,,,,,,,,,
id,"David Harvey, M.D.",CARDIOLOGISTS,images/pic_one.jpg,,,(325) 655-2200,102 N. Magdalen,San Angelo,TX,,,,,,,,,,,,,,,,
id,"David L. Ivans, M.D.",CARDIOLOGISTS,images/pic_one.jpg,,,(325) 655-2200,102 N. Magdalen,San Angelo,TX,,,,,,,,,,,,,,,,
id,"Denver Marsh, Jr., M.D.",CARDIOLOGISTS,images/pic_one.jpg,,,(325) 481-2281,102 N. Magdalen,San Angelo,TX,,,,,,,,,,,,,,,,
id,"Gene Sherrod, M.D.",CARDIOLOGISTS,images/pic_one.jpg,,,(325) 481-2281,102 N. Magdalen,San Angelo,TX,,,,,,,,,,,,,,,,
id,"Gregson Oghafua, M.D., FACC",CARDIOLOGISTS,images/pic_one.jpg,,,(325) 944-1240,"3180 Executive Dr, Ste 102",San Angelo,TX,,,,,,,,,,,,,,,,
id,"J. Chris McClish, M.D.",CARDIOLOGISTS,images/pic_one.jpg,,,(325) 481-2281,102 N. Magdalen,San Angelo,TX,,,,,,,,,,,,,,,,
id,"Jack Sun, D.O.",CARDIOLOGISTS,images/pic_one.jpg,,,(325) 245-4501,"3350 Executive Dr., Ste 100",San Angelo,TX,,,,,,,,,,,,,,,,
id,"James Neill, M.D.",CARDIOLOGISTS,images/pic_one.jpg,,,(325) 481-2281,102 N. Magdalen,San Angelo,TX,,,,,,,,,,,,,,,,
id,"Michael Blanc, M.D., FACC, FSCAI",CARDIOLOGISTS,images/pic_one.jpg,,,(325) 245-4501,"3350 Executive Dr., Ste 100",San Angelo,TX,,,,,,,,,,,,,,,,
id,"Miltiadis Leon, M.D., FACC",CARDIOLOGISTS,images/pic_one.jpg,,,(325) 944-1240,"3180 Executive Dr, Ste 102",San Angelo,TX,,,,,,,,,,,,,,,,
